[2025-08-12T16:30:03.286Z] INFO: Starting a postgresql pool with 25 connections.
[2025-08-12T16:30:03.405Z] QUERY: SELECT "public"."user_sessions"."id", "public"."user_sessions"."user_id", "public"."user_sessions"."token_hash", "public"."user_sessions"."expires_at", "public"."user_sessions"."created_at" FROM "public"."user_sessions" WHERE ("public"."user_sessions"."user_id" = $1 AND "public"."user_sessions"."token_hash" = $2 AND "public"."user_sessions"."expires_at" > $3) LIMIT $4 OFFSET $5 | params: [6,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjYsInVzZXJuYW1lIjoiYWtzaGF5IiwiaWF0IjoxNzU0OTkyMDY5LCJleHAiOjE3NTUwNzg0Njl9.iqUuwFI0cn6zLX0Zb4D_Tigz7toQwxkdwYjREgYrHjI","2025-08-12 16:30:03.263 UTC",1,0] | duration: 9ms
[2025-08-12T16:30:08.056Z] QUERY: INSERT INTO "public"."ai_interactions" ("user_id","route_type","input_data","output_data","metadata","created_at") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."ai_interactions"."id", "public"."ai_interactions"."user_id", "public"."ai_interactions"."route_type", "public"."ai_interactions"."input_data", "public"."ai_interactions"."output_data", "public"."ai_interactions"."metadata", "public"."ai_interactions"."created_at" | params: [6,"summarizer","File: AkshayDhongade_InternshalaResume (9).pdf, Tone: neutral, Content Length: 2942","Akshay Dhongade is a Full-Stack Developer with over 1 year of experience in JavaScript, ReactJS, Node.js, MongoDB, and MySQL. He has worked on projects such as developing a YouTube clone and an e-commerce application. Akshay has a Bachelor of Engineering degree and has completed trainings/certifications in Full Stack Development. He has skills in HTML, CSS, JavaScript, Node.js, Express.js, and more. Akshay has also participated in outdoor client shoots for advertisements and collaborated with UI/UX teams to enhance user experience.",{"fileType":"application/pdf","tone":"neutral","contentLength":2942,"summaryLength":537},"2025-08-12 16:30:08.010 UTC"] | duration: 41ms
[2025-08-12T16:36:57.357Z] INFO: Starting a postgresql pool with 25 connections.
[2025-08-12T16:36:57.433Z] QUERY: SELECT "public"."user_sessions"."id", "public"."user_sessions"."user_id", "public"."user_sessions"."token_hash", "public"."user_sessions"."expires_at", "public"."user_sessions"."created_at" FROM "public"."user_sessions" WHERE ("public"."user_sessions"."user_id" = $1 AND "public"."user_sessions"."token_hash" = $2 AND "public"."user_sessions"."expires_at" > $3) LIMIT $4 OFFSET $5 | params: [6,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjYsInVzZXJuYW1lIjoiYWtzaGF5IiwiaWF0IjoxNzU0OTkyMDY5LCJleHAiOjE3NTUwNzg0Njl9.iqUuwFI0cn6zLX0Zb4D_Tigz7toQwxkdwYjREgYrHjI","2025-08-12 16:36:57.349 UTC",1,0] | duration: 3ms
[2025-08-12T16:36:57.454Z] QUERY: SELECT COUNT("public"."ai_interactions"."id"), MAX("public"."ai_interactions"."created_at"), "public"."ai_interactions"."route_type" FROM "public"."ai_interactions" WHERE "public"."ai_interactions"."user_id" = $1 GROUP BY "public"."ai_interactions"."route_type" OFFSET $2 | params: [6,0] | duration: 6ms
[2025-08-12T16:38:45.043Z] QUERY: SELECT 1 | params: [] | duration: 1ms
[2025-08-12T16:38:45.044Z] QUERY: SELECT "public"."user_sessions"."id", "public"."user_sessions"."user_id", "public"."user_sessions"."token_hash", "public"."user_sessions"."expires_at", "public"."user_sessions"."created_at" FROM "public"."user_sessions" WHERE ("public"."user_sessions"."user_id" = $1 AND "public"."user_sessions"."token_hash" = $2 AND "public"."user_sessions"."expires_at" > $3) LIMIT $4 OFFSET $5 | params: [6,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjYsInVzZXJuYW1lIjoiYWtzaGF5IiwiaWF0IjoxNzU0OTkyMDY5LCJleHAiOjE3NTUwNzg0Njl9.iqUuwFI0cn6zLX0Zb4D_Tigz7toQwxkdwYjREgYrHjI","2025-08-12 16:38:45.038 UTC",1,0] | duration: 0ms
[2025-08-12T16:38:45.047Z] QUERY: SELECT COUNT("public"."ai_interactions"."id"), MAX("public"."ai_interactions"."created_at"), "public"."ai_interactions"."route_type" FROM "public"."ai_interactions" WHERE "public"."ai_interactions"."user_id" = $1 GROUP BY "public"."ai_interactions"."route_type" OFFSET $2 | params: [6,0] | duration: 0ms
[2025-08-12T16:39:10.687Z] QUERY: SELECT 1 | params: [] | duration: 0ms
[2025-08-12T16:39:10.689Z] QUERY: SELECT "public"."user_sessions"."id", "public"."user_sessions"."user_id", "public"."user_sessions"."token_hash", "public"."user_sessions"."expires_at", "public"."user_sessions"."created_at" FROM "public"."user_sessions" WHERE ("public"."user_sessions"."user_id" = $1 AND "public"."user_sessions"."token_hash" = $2 AND "public"."user_sessions"."expires_at" > $3) LIMIT $4 OFFSET $5 | params: [6,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjYsInVzZXJuYW1lIjoiYWtzaGF5IiwiaWF0IjoxNzU0OTkyMDY5LCJleHAiOjE3NTUwNzg0Njl9.iqUuwFI0cn6zLX0Zb4D_Tigz7toQwxkdwYjREgYrHjI","2025-08-12 16:39:10.685 UTC",1,0] | duration: 0ms
[2025-08-12T16:39:14.522Z] QUERY: INSERT INTO "public"."ai_interactions" ("user_id","route_type","input_data","output_data","metadata","created_at") VALUES ($1,$2,$3,$4,$5,$6) RETURNING "public"."ai_interactions"."id", "public"."ai_interactions"."user_id", "public"."ai_interactions"."route_type", "public"."ai_interactions"."input_data", "public"."ai_interactions"."output_data", "public"."ai_interactions"."metadata", "public"."ai_interactions"."created_at" | params: [6,"summarizer","File: _Associate SE Python React - Assessment.pdf, Tone: friendly, Content Length: 2724","This document is about an assessment for the role of Associate Software Engineer (Python React) at a software development agency that works with enterprises and startups to create high-quality software. The role involves designing and developing software using TypeScript, React, and Python, focusing on delivering clean code and being involved in every step of the process. The agency prioritizes creating a strong technical base from the start to ensure smoother scaling and future development. To apply for the position, applicants must complete a coding assessment involving building backend APIs and potentially frontend interfaces. Instructions and guidelines are provided for completing the assessment, and it is noted that individual feedback may not be provided if not selected. Applicants are encouraged to ask questions, make assumptions, and demonstrate their thinking and approach in their submissions.",{"fileType":"application/pdf","tone":"friendly","contentLength":2724,"summaryLength":915},"2025-08-12 16:39:14.510 UTC"] | duration: 11ms
[2025-08-12T16:40:06.193Z] QUERY: SELECT 1 | params: [] | duration: 0ms
[2025-08-12T16:40:06.195Z] QUERY: SELECT "public"."user_sessions"."id", "public"."user_sessions"."user_id", "public"."user_sessions"."token_hash", "public"."user_sessions"."expires_at", "public"."user_sessions"."created_at" FROM "public"."user_sessions" WHERE ("public"."user_sessions"."user_id" = $1 AND "public"."user_sessions"."token_hash" = $2 AND "public"."user_sessions"."expires_at" > $3) LIMIT $4 OFFSET $5 | params: [6,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjYsInVzZXJuYW1lIjoiYWtzaGF5IiwiaWF0IjoxNzU0OTkyMDY5LCJleHAiOjE3NTUwNzg0Njl9.iqUuwFI0cn6zLX0Zb4D_Tigz7toQwxkdwYjREgYrHjI","2025-08-12 16:40:06.191 UTC",1,0] | duration: 0ms
